Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.tiktok.com/@fuat_marta/video/7256068282967477530,,Fuat & Marta,976.500,27.900,260,2.484,5.461,
TRUE,https://www.instagram.com/greator/reel/Cf9coZmO1sx/,,Greator,964.000,11.100,105,,,
TRUE,https://www.instagram.com/greator/reel/DBEcXPwpvie/,,Greator,937.000,17.800,650,,,
TRUE,https://www.instagram.com/greator/reel/C7J7gSVIovm/,,Greator,935.000,25.800,193,,,
TRUE,https://youtube.com/shorts/uM421huTTuM,,Greator,927.853,16.923,109,,,
TRUE,https://youtube.com/shorts/8qUkArrz9Zg,,Greator,927.171,30.637,355,,,
TRUE,https://www.instagram.com/greator/reel/DCWKGWPNmO4/,,Greator,922.000,26.500,525,,,
TRUE,https://www.tiktok.com/@greator/video/7259408191467851035,,Greator,919.800,24.000,617,4,3.640,
TRUE,https://www.instagram.com/greator/reel/ChIJtD4uNSv/,,Greator,901.000,15.900,93,,,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7307678702219840800,,Chris Surel,896.000,19.100,56,,3.306,
TRUE,https://youtube.com/shorts/I4xFCz1_7HA,,Greator,895.387,31.046,168,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7400049481661697313,,Fuat & Marta,885.000,48.100,240,3.990,11.300,
TRUE,https://youtube.com/shorts/-aeRAtbGzwo,,Greator,884.868,21.068,439,,,
TRUE,https://youtube.com/shorts/4jzFvglsexg,,Robert Marc Lehmann,873.826,36.659,1.170,,,
TRUE,https://youtube.com/shorts/M5VytOFGBfI,,Robert Marc Lehmann,869.987,46.156,668,,,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7272767156582927649,,Rafael Bettencourt,863.200,35.500,403,1.826,6.503,
TRUE,https://www.tiktok.com/@greator/video/7149577444020833541,,Greator,861.100,63.700,145,392,6.195,
TRUE,https://www.facebook.com/reel/1347740822482360,,Fuat & Marta,859.000,13.160,344,4.552,,
TRUE,https://www.instagram.com/greator/reel/DAG7Jb5MhMI/,,Greator,852.000,15.300,112,,,
TRUE,https://www.instagram.com/meetyourmaster.de/reel/C0ZnQYvtrUw/,,Meet Your Master,851.000,19.800,3.815,,,
TRUE,https://youtube.com/shorts/8hVLqpkn2_4,,Robert Marc Lehmann,848.356,22.779,466,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7253841672793050374,,Fuat & Marta,841.000,33.400,496,3.833,6.777,
TRUE,https://www.instagram.com/greator/reel/CghdMmMPv0s/,,Greator,839.000,7.882,99,,,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7263891978025258272,,Chris Surel,833.000,59.800,1.432,,10.500,
TRUE,https://www.instagram.com/reel/CoKzilIgyi1/,,Leander Greitemann,823.000,42.000,318,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7262763276306631968,,Fuat & Marta,818.000,48.800,337,3.796,9.561,
TRUE,https://www.facebook.com/reel/3138369416304672,,Fuat & Marta,815.000,7.300,169,924,,
